Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.31284969742887E-17,-6.54836755974205E-18,0.005,0,0,0,0.0392146018366026,8.24767242466039E-06,1.96455395481344E-21,1.97031431348917E-22,2.05319092153479E-05,3.32608016050597E-22,2.81260049427316E-05,0,0,0,0,0,0,package://four_skating/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://four_skating/meshes/base_link.STL,,zhuti-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_forward_Link_1,0,0.00469653105239854,0.00482901223692219,0,0,0,0.00155580902775302,1.72003165569314E-07,8.27180612553028E-25,-8.89219158494505E-24,1.57424830559838E-07,7.11130751606718E-09,3.08875512830852E-08,0,0,0,0,0,0,package://four_skating/meshes/left_forward_Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://four_skating/meshes/left_forward_Link_1.STL,,link1-3,Origin_left_forward_Joint_1,Axis_left_forward_Joint_1,left_forward_Joint_1,continuous,0.0399999999999999,0.0250000000000002,0,1.5707963267949,0,3.02538154316369,base_link,0,1,0,,,,,,,,,,,,
left_forward_Link_2,0,0.000951178470486614,-0.0156825282638125,0,0,0,0.000410674770424681,3.37221691289327E-08,-2.58493941422821E-26,1.0352682353984E-23,3.40937232189665E-08,-1.40072591959393E-09,1.23732540087662E-09,0,0,0,0,0,0,package://four_skating/meshes/left_forward_Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://four_skating/meshes/left_forward_Link_2.STL,,link2-1,Origin_left_forward_Joint_2,Axis_left_forward_Joint_2,left_forward_Joint_2,prismatic,0,0.005,0.019733,3.1416,0,3.1416,left_forward_Link_1,0,0,1,0,0,0,0,,,,,,,,
left_forward_lun,-2.15105711021124E-16,-1.52655665885959E-16,-0.00243277831827535,0,0,0,0.00235619449019234,1.00629139685298E-07,-1.78877807464592E-23,4.21862112402044E-23,1.00629139685298E-07,3.84638984837158E-23,1.91440802328128E-07,0,0,0,0,0,0,package://four_skating/meshes/left_forward_lun.STL,1,1,1,1,0,0,0,0,0,0,package://four_skating/meshes/left_forward_lun.STL,,lun-2,Origin_left_forward_lun,Axis_left_forward_lun,left_forward_lun,continuous,0,0,-0.0246638915913767,0,0,2.54006675826632,left_forward_Link_2,0,0,1,,,,,,,,,,,,
right_forward_Link_1,-3.46944695195361E-18,0.00469653105239854,0.00482901223692221,0,0,0,0.00155580902775302,1.72003165569314E-07,-4.13590306276514E-24,-1.57164316385075E-23,1.57424830559838E-07,7.11130751606718E-09,3.08875512830852E-08,0,0,0,0,0,0,package://four_skating/meshes/right_forward_Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://four_skating/meshes/right_forward_Link_1.STL,,link1-2,Origin_right_forward_Joint_1,Axis_right_forward_Joint_1,right_forward_Joint_1,continuous,0.04,-0.025,0,1.5708,0,0.50352,base_link,0,1,0,,,,,,,,,,,,
right_forward_Link_2,1.04083408558608E-17,0.00095117847048663,-0.0181989952794125,0,0,0,0.000410674770424681,3.37221691289327E-08,-1.03996423877919E-25,5.16987882845642E-25,3.40937232189665E-08,-1.40072591959389E-09,1.23732540087662E-09,0,0,0,0,0,0,package://four_skating/meshes/right_forward_Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://four_skating/meshes/right_forward_Link_2.STL,,link2-3,Origin_right_forward_Joint_2,Axis_right_forward_Joint_2,right_forward_Joint_2,prismatic,0,0.005,0.00583598115499422,-3.14159265358979,0,3.14159265358979,right_forward_Link_1,0,0,1,0,0,0,0,,,,,,,,
right_forward_lun,5.20417042793042E-18,1.73472347597681E-17,-0.0164181508625821,0,0,0,0.00235619449019235,1.00629139685298E-07,-3.30872245021211E-24,0,1.00629139685298E-07,9.92616735063633E-24,1.91440802328128E-07,0,0,0,0,0,0,package://four_skating/meshes/right_forward_lun.STL,1,1,1,1,0,0,0,0,0,0,package://four_skating/meshes/right_forward_lun.STL,,lun-3,Origin_right_forward_lun,Axis_right_forward_lun,right_forward_lun,continuous,0,0,-0.0131949860626701,0,0,-1.15776168458666,right_forward_Link_2,0,0,1,,,,,,,,,,,,
left_backward_Link_1,0,0.00469653105239854,0.0048290122369222,0,0,0,0.00155580902775302,1.72003165569314E-07,-2.8951321439356E-24,3.14328632770151E-23,1.57424830559838E-07,7.11130751606719E-09,3.08875512830852E-08,0,0,0,0,0,0,package://four_skating/meshes/left_backward_Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://four_skating/meshes/left_backward_Link_1.STL,,link1-4,Origin_left_backward_Joint_1,Axis_left_backward_Joint_1,left_backward_Joint_1,continuous,-0.04,0.025,0,1.5708,0,-2.7407,base_link,0,1,0,,,,,,,,,,,,
left_backward_Link_2,-3.46944695195361E-18,0.000951178470486647,-0.0178825156824723,0,0,0,0.000410674770424681,3.37221691289326E-08,-1.24077091882954E-24,-9.35748067950613E-24,3.40937232189665E-08,-1.40072591959386E-09,1.23732540087661E-09,0,0,0,0,0,0,package://four_skating/meshes/left_backward_Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://four_skating/meshes/left_backward_Link_2.STL,,link2-4,Origin_left_backward_Joint_2,Axis_left_backward_Joint_2,left_backward_Joint_2,prismatic,0,0.005,0.00812196270704283,3.14159265358979,0,3.14159265358979,left_backward_Link_1,0,0,1,0,0,0,0,,,,,,,,
left_backward_lun,7.63278329429795E-17,1.82145964977565E-17,-0.0131328631479988,0,0,0,0.00235619449019234,1.00629139685298E-07,-5.16987882845642E-24,9.92616735063633E-24,1.00629139685298E-07,-2.39882377640378E-23,1.91440802328128E-07,0,0,0,0,0,0,package://four_skating/meshes/left_backward_lun.STL,1,1,1,1,0,0,0,0,0,0,package://four_skating/meshes/left_backward_lun.STL,,lun-1,Origin_left_backward_lun,Axis_left_backward_lun,left_backward_lun,continuous,0,0,-0.0161637941803131,0,0,-0.206289656954149,left_backward_Link_2,0,0,1,,,,,,,,,,,,
right_backward_Link_1,6.93889390390723E-18,0.00469653105239854,0.00482901223692219,0,0,0,0.00155580902775302,1.72003165569314E-07,3.30872245021211E-24,3.30872245021211E-23,1.57424830559838E-07,7.11130751606718E-09,3.08875512830852E-08,0,0,0,0,0,0,package://four_skating/meshes/right_backward_Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://four_skating/meshes/right_backward_Link_1.STL,,link1-1,Origin_right_backward_Joint_1,Axis_right_backward_Joint_1,right_backward_Joint_1,continuous,-0.04,-0.025,0,1.5707963267949,0,-0.264786446467445,base_link,0,1,0,,,,,,,,,,,,
right_backward_Link_2,1.38777878078145E-17,0.000951178470486639,-0.0140312019842561,0,0,0,0.000410674770424681,3.37221691289327E-08,-9.49742628874355E-26,8.11670976067658E-24,3.40937232189666E-08,-1.40072591959388E-09,1.23732540087662E-09,0,0,0,0,0,0,package://four_skating/meshes/right_backward_Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://four_skating/meshes/right_backward_Link_2.STL,,link2-2,Origin_right_backward_Joint_2,Axis_right_backward_Joint_2,right_backward_Joint_2,prismatic,0,0.00500000000000001,0.0181150724675244,-3.14159265358979,0,3.14159265358979,right_backward_Link_1,0,0,1,0,0,0,0,,,,,,,,
right_backward_lun,0,-3.46944695195361E-18,-0.00215755727168261,0,0,0,0.00235619449019235,1.00629139685298E-07,-2.00591298544109E-23,8.27180612553028E-24,1.00629139685298E-07,4.13590306276514E-23,1.91440802328128E-07,0,0,0,0,0,0,package://four_skating/meshes/right_backward_lun.STL,1,1,1,1,0,0,0,0,0,0,package://four_skating/meshes/right_backward_lun.STL,,lun-4,Origin_right_backward_lun,Axis_right_backward_lun,right_backward_lun,continuous,0,0,-0.0232877863584131,0,0,-0.377256984560737,right_backward_Link_2,0,0,1,,,,,,,,,,,,
